Song,Artist,Last Week Rank,Peak Rank,Weeks on Chart
Butter,BTS,1,1,2
Good 4 U,Olivia Rodrigo,2,1,3
Levitating,Dua Lipa Featuring DaBaby,4,2,35
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),5,1,13
Save Your Tears,The Weeknd & Ariana Grande,7,1,25
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,6,1,11
Kiss Me More,Doja Cat Featuring SZA,8,5,8
Deja Vu,Olivia Rodrigo,3,3,9
Astronaut In The Ocean,Masked Wolf,10,6,16
Montero (Call Me By Your Name),Lil Nas X,13,1,10
Without You,The Kid LAROI,16,8,26
Traitor,Olivia Rodrigo,9,9,2
Drivers License,Olivia Rodrigo,11,1,21
Rapstar,Polo G,17,1,8
Forever After All,Luke Combs,20,2,32
Favorite Crime,Olivia Rodrigo,18,16,2
Blinding Lights,The Weeknd,22,1,78
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,23,18,13
Brutal,Olivia Rodrigo,12,12,2
Happier,Olivia Rodrigo,15,15,2
Calling My Phone,Lil Tjay Featuring 6LACK,25,3,16
Best Friend,Saweetie Featuring Doja Cat,27,14,21
Heartbreak Anniversary,Giveon,30,17,16
Up,Cardi B,28,1,17
Heat Waves,Glass Animals,37,25,20
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,34,20,5
Enough For You,Olivia Rodrigo,14,14,2
my.life,"J. Cole, 21 Savage & Morray",21,2,3
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,31,12,20
Mood,24kGoldn Featuring iann dior,35,1,43
My Ex's Best Friend,Machine Gun Kelly X blackbear,39,20,42
Track Star,Mooski,32,31,15
Wockesha,Moneybagg Yo,36,33,6
Telepatia,Kali Uchis,44,34,15
Back In Blood,Pooh Shiesty Featuring Lil Durk,38,13,22
Gone,Dierks Bentley,55,36,12
pov,Ariana Grande,45,37,13
"1 Step Forward, 3 Steps Back",Olivia Rodrigo,19,19,2
Wants And Needs,Drake Featuring Lil Baby,46,2,13
The Good Ones,Gabby Barrett,42,19,23
What You Know Bout Love,Pop Smoke,43,9,39
"Jealousy, Jealousy",Olivia Rodrigo,24,24,2
Famous Friends,Chris Young + Kane Brown,52,43,10
Hell Of A View,Eric Church,40,28,21
pride.is.the.devil,J. Cole & Lil Baby,26,7,3
On Me,Lil Baby,49,15,26
Settling Down,Miranda Lambert,57,47,12
Time Today,Moneybagg Yo,53,31,17
Breaking Up Was Easy In The 90's,Sam Hunt,47,32,14
Nobody,Dylan Scott,50,50,14
Almost Maybes,Jordan Davis,56,51,19
Hope Ur OK,Olivia Rodrigo,29,29,2
Lil Bit,Nelly & Florida Georgia Line,62,53,11
We're Good,Dua Lipa,54,31,16
Ski,Young Thug & Gunna,64,18,7
Build A Bitch,Bella Poarch,58,56,3
Made For You,Jake Owen,65,32,15
Miss The Rage,Trippie Redd & Playboi Carti,63,11,4
No More Parties,Coi Leray Featuring Lil Durk,61,26,17
Your Power,Billie Eilish,60,10,5
Gang Gang,Polo G & Lil Wayne,33,33,2
Killer,Eminem Featuring Jack Harlow & Cordae,-,62,1
Blame It On You,Jason Aldean,76,63,6
Tell Em,Cochise & $NOT,-,64,1
amari,J. Cole,41,5,3
Todo de Ti,Rauw Alejandro,-,66,1
Seeing Green,"Nicki Minaj, Drake & Lil Wayne",48,12,3
Glad You Exist,Dan + Shay,75,63,17
Minimum Wage,Blake Shelton,70,69,4
Single Saturday Night,Cole Swindell,78,70,5
One Too Many,Keith Urban Duet With P!nk,74,62,25
Leave Before You Love Me,Marshmello X Jonas Brothers,85,72,2
Quicksand,Morray,77,65,17
4 Da Gang,42 Dugg & Roddy Ricch,67,67,9
Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,-,75,1
What's Next,Drake,73,1,13
Way Less Sad,AJR,94,77,6
Straightenin,Migos,69,38,3
Tombstone,Rod Wave,82,11,11
Maybach,42 Dugg Featuring Future,68,68,2
Voice Of The Heroes,Lil Baby & Lil Durk,-,81,1
Twerkulator,City Girls,51,51,2
Goosebumps,Travis Scott & HVME,84,47,20
Solid,Young Thug & Gunna Featuring Drake,81,12,7
Arcade,Duncan Laurence,88,78,8
Follow You,Imagine Dragons,89,68,9
Chasing After You,Ryan Hurd With Maren Morris,90,87,6
Hello,Pop Smoke Featuring A Boogie Wit da Hoodie,93,83,11
Country Again,Thomas Rhett,96,73,5
Pick Up Your Feelings,Jazmine Sullivan,91,75,19
The Business,Tiesto,-,69,14
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,-,79,6
Things A Man Oughta Know,Lainey Wilson,100,93,3
95.south,J. Cole,59,8,3
Drankin N Smokin,Future & Lil Uzi Vert,95,31,18
All I Know So Far,P!nk,87,74,3
Hold On,Justin Bieber,86,20,13
Wasted On You,Morgan Wallen,98,9,19
Outside,MO3 X OG Bobby Billions,-,99,1
Botella Tras Botella,Gera MX + Christian Nodal,-,60,4
